Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA3 (UR) by AGE10P - Age in Ten Year Groups by SEXP Sex"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"SEXP Sex","Male"

"AGE10P - Age in Ten Year Groups","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","Total",
"SA3 (UR)",
"Queanbeyan",3449,3825,4464,4325,3005,19072,
"Snowy Mountains",1162,1071,1396,1503,1358,6489,
"South Coast",2450,2693,3794,5368,6689,20987,
"Goulburn - Mulwaree",2071,2015,2291,2561,2346,11287,
"Young - Yass",1590,1666,2420,2597,2420,10697,
"Gosford",8981,9050,10819,11189,10010,50047,
"Wyong",8776,8684,9652,9888,9021,46011,
"Bathurst",3416,2739,2953,2859,2700,14675,
"Lachlan Valley",2797,2689,3101,3872,3808,16269,
"Lithgow - Mudgee",2508,2491,2939,3427,3104,14473,
"Orange",3067,3369,3680,3588,3154,16865,
"Clarence Valley",2090,2114,2749,3794,4193,14934,
"Coffs Harbour",4152,4175,5052,5876,6147,25398,
"Bourke - Cobar - Coonamble",1446,1337,1478,1904,1566,7724,
"Broken Hill and Far West",1186,1067,1218,1494,1422,6392,
"Dubbo",4151,3864,4072,4562,4088,20737,
"Lower Hunter",5457,5412,5807,5849,5127,27651,
"Maitland",4630,4889,4781,4348,3674,22318,
"Port Stephens",3477,3369,4239,4915,5125,21118,
"Upper Hunter",1782,1951,2039,2052,1701,9526,
"Dapto - Port Kembla",4501,4402,4717,5060,4034,22711,
"Illawarra Catchment Reserve",0,0,0,0,0,0,
"Kiama - Shellharbour",5019,4979,5605,5980,5332,26908,
"Wollongong",10472,8004,8237,8051,6408,41175,
"Great Lakes",1018,1103,1635,2140,2785,8681,
"Kempsey - Nambucca",2176,2000,2609,3587,4092,14470,
"Lord Howe Island",20,33,20,35,23,132,
"Port Macquarie",3095,3335,4451,5114,5686,21683,
"Taree - Gloucester",2149,2088,2883,3803,4523,15448,
"Albury",3658,3564,3717,3904,3510,18351,
"Lower Murray",636,611,784,1017,941,3994,
"Upper Murray exc. Albury",1864,1816,2333,2896,3471,12384,
"Armidale",2548,1871,2056,2437,2192,11100,
"Inverell - Tenterfield",1700,1745,2166,2702,2906,11211,
"Moree - Narrabri",1443,1467,1649,1865,1537,7966,
"Tamworth - Gunnedah",4516,4408,4883,5062,4904,23772,
"Lake Macquarie - East",6500,6718,7752,7841,7108,35918,
"Lake Macquarie - West",4092,4116,4573,4790,4746,22310,
"Newcastle",13669,11134,10291,10185,8270,53553,
"Richmond Valley - Coastal",3133,3897,4942,5823,6002,23794,
"Richmond Valley - Hinterland",3486,3340,4191,5260,5110,21376,
"Tweed Valley",3858,4380,5360,6158,6427,26181,
"Griffith - Murrumbidgee (West)",2947,2750,3041,3332,2664,14732,
"Tumut - Tumbarumba",690,785,895,1129,1038,4530,
"Wagga Wagga",6139,5506,5647,5870,5307,28476,
"Shoalhaven",4809,4703,5393,6818,7884,29614,
"Southern Highlands",1941,2031,2838,3125,3286,13215,
"Baulkham Hills",8267,8097,10181,9509,7672,43736,
"Dural - Wisemans Ferry",1451,1095,1790,1980,1558,7863,
"Hawkesbury",1442,1239,1834,1941,1438,7889,
"Rouse Hill - McGraths Hill",1844,2074,2846,2028,1343,10136,
"Blacktown",9888,11305,8788,7837,6206,44020,
"Blacktown - North",5823,8337,7402,4893,3262,29717,
"Mount Druitt",8023,7782,6952,6337,4419,33523,
"Botany",4195,4040,3195,2676,1799,15904,
"Marrickville - Sydenham - Petersham",4998,5507,4300,3093,2122,20024,
"Sydney Inner City",32870,28469,15078,10855,7166,94438,
"Eastern Suburbs - North",8919,12043,8818,6703,5384,41871,
"Eastern Suburbs - South",14633,11727,9238,7443,5489,48532,
"Bankstown",12014,11361,10528,10293,7820,52013,
"Canterbury",10812,11223,8852,7759,5427,44066,
"Hurstville",10509,8710,7634,7937,6047,40837,
"Kogarah - Rockdale",11974,12198,8712,7542,6067,46495,
"Canada Bay",6396,7270,5638,4776,3806,27898,
"Leichhardt",3236,4871,4835,3333,2540,18807,
"Strathfield - Burwood - Ashfield",16258,13209,9194,8671,5917,53253,
"Chatswood - Lane Cove",7211,9533,8016,6218,4697,35675,
"Hornsby",4349,5679,6253,4970,3735,24982,
"Ku-ring-gai",5506,5527,8209,7976,5613,32822,
"North Sydney - Mosman",6028,8970,6603,5252,4473,31317,
"Manly",2396,3351,3312,2644,1835,13544,
"Pittwater",2788,2756,4197,4337,3744,17823,
"Warringah",7877,10159,11777,9367,6547,45729,
"Camden",3807,4344,4649,3425,2455,18686,
"Campbelltown (NSW)",11286,11164,9693,9607,7895,49642,
"Wollondilly",2385,2411,2908,2652,2246,12601,
"Blue Mountains",3419,3957,5155,5295,5380,23201,
"Blue Mountains - South",0,0,0,3,3,5,
"Penrith",9784,10259,9254,7904,6537,43741,
"Richmond - Windsor",2985,2410,2374,2319,1722,11816,
"St Marys",4270,3771,3410,3512,2672,17635,
"Auburn",11099,9969,5683,4954,3202,34904,
"Carlingford",4099,4591,4478,4375,3268,20810,
